directory_file_name,line_number,error_type,error_description
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,328:35,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,343:18,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,371:57,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,396:11,error,no-promise-executor-return
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,399:57,error,no-magic-numbers
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,409:15,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,410:17,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,429:9,error,prefer-template
create-react-app\packages\react-dev-utils\WebpackDevServerUtils.js,431:12,error,prefer-template
create-react-app\packages\react-dev-utils\__tests__\getCSSModuleLocalIdent.test.js,8:1,error,strict
create-react-app\packages\react-dev-utils\__tests__\getPublicUrlOrPath.test.js,8:1,error,strict
create-react-app\packages\react-dev-utils\__tests__\ignoredFiles.test.js,8:1,error,strict
create-react-app\packages\react-dev-utils\browsersHelper.js,7:1,error,strict
create-react-app\packages\react-dev-utils\browsersHelper.js,34:7,error,prefer-template
create-react-app\packages\react-dev-utils\browsersHelper.js,53:9,error,prefer-template
create-react-app\packages\react-dev-utils\browsersHelper.js,77:64,error,no-magic-numbers
create-react-app\packages\react-dev-utils\chalk.js,8:1,error,strict
create-react-app\packages\react-dev-utils\checkRequiredFiles.js,8:1,error,strict
create-react-app\packages\react-dev-utils\clearConsole.js,8:1,error,strict
create-react-app\packages\react-dev-utils\crossSpawn.js,8:1,error,strict
create-react-app\packages\react-dev-utils\errorOverlayMiddleware.js,7:1,error,strict
create-react-app\packages\react-dev-utils\errorOverlayMiddleware.js,15:64,error,no-magic-numbers
create-react-app\packages\react-dev-utils\errorOverlayMiddleware.js,16:62,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,8:1,error,strict
create-react-app\packages\react-dev-utils\eslintFormatter.js,22:45,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,39:29,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,55:34,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,57:17,error,prefer-template
create-react-app\packages\react-dev-utils\eslintFormatter.js,59:33,error,prefer-template
create-react-app\packages\react-dev-utils\eslintFormatter.js,71:41,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,76:9,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,76:16,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,76:45,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,76:66,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,77:16,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,77:19,error,no-magic-numbers
create-react-app\packages\react-dev-utils\eslintFormatter.js,103:7,error,prefer-template
create-react-app\packages\react-dev-utils\evalSourceMapMiddleware.js,7:1,error,strict
create-react-app\packages\react-dev-utils\evalSourceMapMiddleware.js,34:64,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,8:1,error,strict
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,13:56,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,17:1,error,max-statements
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,71:22,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,71:33,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,72:18,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,72:21,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,75:9,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,75:20,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,78:13,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,78:25,error,no-magic-numbers
create-react-app\packages\react-dev-utils\formatWebpackMessages.js,78:62,error,no-magic-numbers
